level,cluster_id,title,description
1,7060,"No Phone Service, DSL Internet, Attitude of Provider",This cluster consists of customers without phone service who use DSL internet. The 'Attitude of service provider' is a common churn reason. They exhibit a high churn label and churn value.
1,7061,"Churned, Attitude of Support, Fiber Optic","Customers in this segment have churned, with 'Attitude of support person' being a primary reason. They predominantly use fiber optic internet. Senior citizens are also more prevalent in this group."
1,7062,"Churned, Attitude of Support, No Internet","This group consists of churned customers, with the 'Attitude of support person' being a significant churn reason. They do not have any internet service. The absence of internet is a defining characteristic."
1,7063,"Churned, Competitor Speeds, Senior Citizens","Customers who have churned are in this cluster, citing 'Competitor offered higher download speeds' as a key reason. Senior citizens are more common here. They are also more likely to have fiber optic internet."
1,7064,"Churned, Competitor Speeds, No Long-Term Contracts","This cluster represents churned customers, with competitor download speeds being a primary churn driver. They are not on two-year contracts. Notably, they have not churned and are not associated with long-term contracts."
1,7065,"Churned, Extra Data Charges, Senior Citizens","Customers in this segment have churned, with 'Extra data charges' being a prominent reason. Senior citizens are more prevalent in this group. These customers exhibit a high churn label and churn value."
1,7066,"Churned, Website Self-Service Issues, No Long-Term Contracts",This cluster includes churned customers who cite 'Lack of self-service on Website' as a key reason. They are not on two-year contracts. These customers have high churn labels and churn values.
1,7067,"Churned, Poor Online Support, No Internet","Customers here have churned, with 'Poor expertise of online support' being a significant reason. They do not have internet service. This group has a high churn label and churn value."
1,7068,"Churned, Competitor Devices, Fiber Optic","This segment consists of churned customers, with 'Competitor had better devices' as a primary churn reason. They frequently use fiber optic internet. Streaming services are popular among this group."
1,7069,"Churned, Competitor Devices, No Phone Service","Customers in this cluster have churned, citing 'Competitor had better devices' as a key reason. They do not have phone service. These customers are not on two-year contracts and have not churned."
1,7070,"No Phone Service, DSL Internet, Competitor Devices",This cluster represents customers without phone service who use DSL internet. 'Competitor had better devices' is a frequent churn reason. They exhibit a high churn label and churn value.
1,7071,"Fiber Optic, Churn Reason 'Don't Know', No Phone Service","Customers primarily using fiber optic internet are in this cluster, with 'Don't know' as a common churn reason. They do not have phone service. This group represents high churn labels and churn values."
1,7072,"Churned, Deceased, Electronic Check","This segment consists of churned customers, with 'Deceased' being the primary churn reason. They commonly use electronic checks for payment. These customers exhibit a high churn label and churn value."
1,7073,"DSL Internet, Churn Reason 'Don't Know', No Phone Service",Customers using DSL internet and citing 'Don't know' as a churn reason are grouped here. They do not have phone service. This segment displays high churn labels and churn values.
1,7074,"No Phone Service, DSL Internet, Churn Reason 'Don't Know'",This cluster includes customers without phone service who use DSL internet and cite 'Don't know' as a churn reason. They exhibit a high churn label and churn value. They are not on long-term contracts.
1,7075,Churn due to poor expertise/attitude,"This cluster represents customers who churned due to issues with phone support expertise and the attitude of service providers. These customers are highly likely to churn, with the 'Churn Label_Yes' feature strongly present."
1,7076,Churn due to network reliability,"This cluster identifies customers churning due to network reliability concerns. These customers are highly likely to churn, indicating that network performance is a significant factor."
1,7077,Churn due to product dissatisfaction,"This cluster highlights customers churning because of product dissatisfaction. These customers have a high likelihood of churning, suggesting product quality is a key issue."
1,7078,Churn due to service dissatisfaction,"This cluster represents customers churning due to general service dissatisfaction. These customers show a strong propensity to churn, indicating overall service quality is a major concern."
1,7079,Churn due to high cost of internet speed,"This cluster identifies customers churning because the cost of download/upload speed is too high. These customers exhibit a high churn rate, pointing to price sensitivity for internet services."
1,7080,Churn due to competitor offers and streaming services,"This cluster represents customers churning due to competitor offers and their engagement with streaming services. These customers are highly likely to churn, with a preference for fiber optic internet and streaming."
1,7081,Churn due to competitor offers and 'No' streaming,"This cluster highlights customers churning due to competitor offers and a lack of engagement with streaming services. These customers have a high churn likelihood, with a tendency to not use streaming TV or movies."
1,7082,Churn due to competitor offers and senior citizens,"This cluster identifies customers churning due to competitor offers, with a notable presence of senior citizens. These customers show a high churn probability, especially those without internet services."
1,7083,Churn due to moving and contract terms,"This cluster represents customers churning primarily because they are moving. These customers have a high churn likelihood, with a strong tendency against long-term contracts."
1,7084,Churn due to high price and senior citizens,"This cluster highlights customers churning due to high prices, with a significant proportion of senior citizens. These customers have a high churn probability, particularly those without internet services."
1,7085,Churn due to high price and no internet service,"This cluster identifies customers churning because the price is too high and they do not have internet service. These customers exhibit a high churn rate, with a strong likelihood of churning if they lack basic internet."
1,7086,Churn due to dependents and DSL internet,"This cluster represents customers churning with dependents and using DSL internet. These customers are likely to churn, especially if they are not senior citizens and have no phone service."
1,7087,Churn due to dependents and fiber optic internet,"This cluster highlights customers churning who have dependents and use fiber optic internet. These customers have a high churn probability, particularly those without internet services and no phone service."
1,7088,Churn due to one-year contracts and online security,"This cluster identifies customers churning with one-year contracts and who utilize online security. These customers show a high churn likelihood, often opting for DSL and not using streaming services."
1,7089,Churn due to DSL internet and female customers,"This cluster represents customers churning who primarily use DSL internet and are female. These customers have a high churn probability, with a tendency to not use streaming services and have no phone service."
1,7090,Churn due to DSL internet and mailed check payments,"This cluster highlights customers churning who use DSL internet and prefer paying by mailed check. These customers are likely to churn, often not utilizing streaming services and lacking phone service."
1,7091,Churn due to fiber optic internet usage,"This cluster identifies customers churning who predominantly use fiber optic internet. These customers have a high churn likelihood, with a strong tendency to not have phone or internet services."
1,7092,Churn due to fiber optic internet and device protection,"This cluster represents customers churning who use fiber optic internet and have device protection. These customers exhibit a high churn probability, especially those without phone or internet services."
1,7093,Churn due to fiber optic internet and streaming services,"This cluster highlights customers churning who use fiber optic internet and subscribe to streaming services. These customers have a high churn likelihood, with a tendency towards not having phone or internet services."
1,7094,Churn due to one-year contracts and dependents,"This cluster identifies customers churning with one-year contracts and who have dependents. These customers show a high churn probability, particularly those without phone or internet services."
1,7095,Churn due to one-year contracts and fiber optic internet,"This cluster represents customers churning with one-year contracts and who use fiber optic internet. These customers have a high churn likelihood, with a strong preference for partner services and no phone service."
1,7096,Churn among senior citizens and fiber optic internet,"This cluster highlights customers churning who are senior citizens and use fiber optic internet. These customers exhibit a high churn probability, particularly those without phone service and with device protection."
1,7097,Churn among senior citizens and electronic payments,"This cluster identifies customers churning who are senior citizens and pay via electronic check. These customers have a high churn likelihood, with a tendency towards not having phone or internet services."
1,7098,Churn among senior citizens and no streaming,"This cluster represents customers churning who are senior citizens and do not use streaming services. These customers exhibit a high churn probability, especially those without phone or internet services."
1,7099,Churn with two-year contracts and extensive services,"This cluster highlights customers churning who are on two-year contracts and utilize many services. These customers have a high churn likelihood, especially those with fiber optic internet and streaming services."
1,7100,Churn with two-year contracts and DSL internet,"This cluster identifies customers churning who have two-year contracts and use DSL internet. These customers exhibit a high churn probability, particularly those with dependents and extensive online services."
1,7101,Churn with one-year contracts and DSL internet,"This cluster represents customers churning with one-year contracts and who use DSL internet. These customers have a high churn likelihood, often without phone service and with device protection."
1,7102,Churn with two-year contracts and automatic payments,"This cluster highlights customers churning who have two-year contracts and use automatic credit card payments. These customers exhibit a high churn probability, often with DSL internet and extensive online services."
1,7103,Churn with two-year contracts and DSL internet,"This cluster identifies customers churning who are on two-year contracts and use DSL internet. These customers have a high churn probability, often with automatic bank transfers and extensive online services."
1,7104,Churn with two-year contracts and fiber optic internet,"This cluster represents customers churning who have two-year contracts and use fiber optic internet. These customers exhibit a high churn likelihood, particularly with multiple lines and extensive streaming services."
1,7105,Churn with no phone service and DSL internet,"This cluster highlights customers churning who lack phone service and use DSL internet. These customers have a high churn probability, especially those on two-year contracts and with automatic bank transfers."
1,7106,Churn with no phone service and DSL internet,"This cluster identifies customers churning who lack phone service and use DSL internet. These customers exhibit a high churn probability, particularly senior citizens and those without multiple lines."
1,7107,"No Phone, DSL Internet Customers",This cluster represents customers with no phone service and DSL internet. They also tend to have online security and tech support. The absence of multiple phone lines is a defining characteristic.
1,7108,"No Phone, DSL, Streaming Without Service","This group is characterized by the absence of phone service, opting for DSL internet. They also show a strong tendency to not utilize streaming movies or TV services. The lack of multiple phone lines is prominent."
2,7109,Churned customers without internet service,This cluster represents customers who have churned and do not use any internet service. They are also less likely to be senior citizens. The defining features indicate a complete absence of internet-related services and a low churn rate within this specific group.
2,7110,No internet service customers,This cluster comprises individuals who do not subscribe to any internet service. A significant portion of these customers opt for mailed check payment methods. Many lack phone service and are not on phone-related plans like multiple lines.
2,7111,Churn due to service and price dissatisfaction,"This cluster identifies customers who churn due to reasons like service dissatisfaction, product issues, or concerns about download/upload speeds and prices. Moved and deceased customers are also slightly more represented here. Some individuals cite 'don't know' or lack of self-service options as contributing factors."
